State,Total Sightings
,7519
ca,10450
wv,540
yt,14
fl,4598
az,2940
ga,1476
ak,396
id,607
ok,837
ab,374
vi,1
ma,1464
nm,914
nd,151
va,1518
ks,706
hi,383
nh,575
pq,102
ne,447
mt,575
la,648
ct,1063
oh,2642
bc,886
vt,335
on,1718
ia,770
mi,2254
ms,462
wy,228
wi,1428
nt,23
ut,799
dc,117
pa,2783
ar,733
nv,989
ny,3511
in,1535
yk,7
mo,1725
pr,36
sd,218
qc,197
wa,4653
nc,2019
nj,1639
md,979
sa,38
mb,174
pe,23
co,1654
ri,313
ky,1002
or,2014
ns,163
tx,4050
mn,1175
il,2874
nb,131
de,200
tn,1312
sk,111
al,763
sc,1171
nf,31
me,692
